label,text,text_clean,tokens,tokens_stemmed,tokens_lemmatized,text_tokens,text_stemmed,text_lemmatized
ham,"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...",lt gt of pple marry with their lovers becz they hav gud undrstndng dat avoids problems i sent dis u u wil get gud news on friday by d person you like and tomorrow will be the best day of your life dont break this chain if you break you will suffer send this to lt gt frnds in lt gt mins whn u read,"['lt', 'gt', 'pple', 'marry', 'lovers', 'becz', 'hav', 'gud', 'undrstndng', 'dat', 'avoids', 'problems', 'sent', 'dis', 'wil', 'get', 'gud', 'news', 'friday', 'person', 'like', 'tomorrow', 'best', 'day', 'life', 'dont', 'break', 'chain', 'break', 'suffer', 'send', 'lt', 'gt', 'frnds', 'lt', 'gt', 'mins', 'whn', 'read']","['lt', 'gt', 'pple', 'marri', 'lover', 'becz', 'hav', 'gud', 'undrstndng', 'dat', 'avoid', 'problem', 'sent', 'di', 'wil', 'get', 'gud', 'news', 'friday', 'person', 'like', 'tomorrow', 'best', 'day', 'life', 'dont', 'break', 'chain', 'break', 'suffer', 'send', 'lt', 'gt', 'frnd', 'lt', 'gt', 'min', 'whn', 'read']","['lt', 'gt', 'pple', 'marry', 'lover', 'becz', 'hav', 'gud', 'undrstndng', 'dat', 'avoids', 'problem', 'send', 'dis', 'wil', 'get', 'gud', 'news', 'friday', 'person', 'like', 'tomorrow', 'best', 'day', 'life', 'dont', 'break', 'chain', 'break', 'suffer', 'send', 'lt', 'gt', 'frnds', 'lt', 'gt', 'min', 'whn', 'read']",lt gt pple marry lovers becz hav gud undrstndng dat avoids problems sent dis wil get gud news friday person like tomorrow best day life dont break chain break suffer send lt gt frnds lt gt mins whn read,lt gt pple marri lover becz hav gud undrstndng dat avoid problem sent di wil get gud news friday person like tomorrow best day life dont break chain break suffer send lt gt frnd lt gt min whn read,lt gt pple marry lover becz hav gud undrstndng dat avoids problem send dis wil get gud news friday person like tomorrow best day life dont break chain break suffer send lt gt frnds lt gt min whn read
ham,Yo dude guess who just got arrested the other day,yo dude guess who just got arrested the other day,"['yo', 'dude', 'guess', 'got', 'arrested', 'day']","['yo', 'dude', 'guess', 'got', 'arrest', 'day']","['yo', 'dude', 'guess', 'get', 'arrest', 'day']",yo dude guess got arrested day,yo dude guess got arrest day,yo dude guess get arrest day
ham,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,shuhui say change suntec steamboat u noe where where r u now,"['shuhui', 'say', 'change', 'suntec', 'steamboat', 'noe']","['shuhui', 'say', 'chang', 'suntec', 'steamboat', 'noe']","['shuhui', 'say', 'change', 'suntec', 'steamboat', 'noe']",shuhui say change suntec steamboat noe,shuhui say chang suntec steamboat noe,shuhui say change suntec steamboat noe
ham,What does the dance river do?,what does the dance river do,"['dance', 'river']","['danc', 'river']","['dance', 'river']",dance river,danc river,dance river
ham,"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger.",yetunde i m sorry but moji and i seem too busy to be able to go shopping can you just please find some other way to get what you wanted us to get please forgive me you can reply free via yahoo messenger,"['yetunde', 'sorry', 'moji', 'seem', 'busy', 'able', 'go', 'shopping', 'please', 'find', 'way', 'get', 'wanted', 'us', 'get', 'please', 'forgive', 'reply', 'free', 'via', 'yahoo', 'messenger']","['yetund', 'sorri', 'moji', 'seem', 'busi', 'abl', 'go', 'shop', 'pleas', 'find', 'way', 'get', 'want', 'us', 'get', 'pleas', 'forgiv', 'repli', 'free', 'via', 'yahoo', 'messeng']","['yetunde', 'sorry', 'moji', 'seem', 'busy', 'able', 'go', 'shop', 'please', 'find', 'way', 'get', 'want', 'u', 'get', 'please', 'forgive', 'reply', 'free', 'via', 'yahoo', 'messenger']",yetunde sorry moji seem busy able go shopping please find way get wanted us get please forgive reply free via yahoo messenger,yetund sorri moji seem busi abl go shop pleas find way get want us get pleas forgiv repli free via yahoo messeng,yetunde sorry moji seem busy able go shop please find way get want u get please forgive reply free via yahoo messenger
ham,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt,hey i will be really pretty late you want to go for the lesson first i will join you i m only reaching tp mrt,"['hey', 'really', 'pretty', 'late', 'want', 'go', 'lesson', 'first', 'join', 'reaching', 'tp', 'mrt']","['hey', 'realli', 'pretti', 'late', 'want', 'go', 'lesson', 'first', 'join', 'reach', 'tp', 'mrt']","['hey', 'really', 'pretty', 'late', 'want', 'go', 'lesson', 'first', 'join', 'reach', 'tp', 'mrt']",hey really pretty late want go lesson first join reaching tp mrt,hey realli pretti late want go lesson first join reach tp mrt,hey really pretty late want go lesson first join reach tp mrt
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",hot live fantasies call now just p per min ntt ltd po box croydon cr wb k,"['hot', 'live', 'fantasies', 'call', 'per', 'min', 'ntt', 'ltd', 'po', 'box', 'croydon', 'cr', 'wb']","['hot', 'live', 'fantasi', 'call', 'per', 'min', 'ntt', 'ltd', 'po', 'box', 'croydon', 'cr', 'wb']","['hot', 'live', 'fantasy', 'call', 'per', 'min', 'ntt', 'ltd', 'po', 'box', 'croydon', 'cr', 'wb']",hot live fantasies call per min ntt ltd po box croydon cr wb,hot live fantasi call per min ntt ltd po box croydon cr wb,hot live fantasy call per min ntt ltd po box croydon cr wb
ham,Bbq this sat at mine from 6ish. Ur welcome 2 come,bbq this sat at mine from ish ur welcome come,"['bbq', 'sat', 'mine', 'ish', 'ur', 'welcome', 'come']","['bbq', 'sat', 'mine', 'ish', 'ur', 'welcom', 'come']","['bbq', 'sit', 'mine', 'ish', 'ur', 'welcome', 'come']",bbq sat mine ish ur welcome come,bbq sat mine ish ur welcom come,bbq sit mine ish ur welcome come
ham,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough …",i don t know same thing that s wrong everyso often he panicks starts goin on bout not bein good enough,"['know', 'thing', 'wrong', 'everyso', 'often', 'panicks', 'starts', 'goin', 'bout', 'bein', 'good', 'enough']","['know', 'thing', 'wrong', 'everyso', 'often', 'panick', 'start', 'goin', 'bout', 'bein', 'good', 'enough']","['know', 'thing', 'wrong', 'everyso', 'often', 'panicks', 'start', 'goin', 'bout', 'bein', 'good', 'enough']",know thing wrong everyso often panicks starts goin bout bein good enough,know thing wrong everyso often panick start goin bout bein good enough,know thing wrong everyso often panicks start goin bout bein good enough
ham,Alright. I'm out--have a good night!,alright i m out have a good night,"['alright', 'good', 'night']","['alright', 'good', 'night']","['alright', 'good', 'night']",alright good night,alright good night,alright good night
ham,Did you try making another butt.,did you try making another butt,"['try', 'making', 'another', 'butt']","['tri', 'make', 'anoth', 'butt']","['try', 'make', 'another', 'butt']",try making another butt,tri make anoth butt,try make another butt
ham,Hope you are feeling great. Pls fill me in. Abiola,hope you are feeling great pls fill me in abiola,"['hope', 'feeling', 'great', 'pls', 'fill', 'abiola']","['hope', 'feel', 'great', 'pl', 'fill', 'abiola']","['hope', 'feel', 'great', 'pls', 'fill', 'abiola']",hope feeling great pls fill abiola,hope feel great pl fill abiola,hope feel great pls fill abiola
ham,I though we shd go out n have some fun so bar in town or something – sound ok?,i though we shd go out n have some fun so bar in town or something sound ok,"['though', 'shd', 'go', 'fun', 'bar', 'town', 'something', 'sound', 'ok']","['though', 'shd', 'go', 'fun', 'bar', 'town', 'someth', 'sound', 'ok']","['though', 'shd', 'go', 'fun', 'bar', 'town', 'something', 'sound', 'ok']",though shd go fun bar town something sound ok,though shd go fun bar town someth sound ok,though shd go fun bar town something sound ok
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",go to write msg put on dictionary mode cover the screen with hand press lt gt gently remove ur hand its interesting,"['go', 'write', 'msg', 'put', 'dictionary', 'mode', 'cover', 'screen', 'hand', 'press', 'lt', 'gt', 'gently', 'remove', 'ur', 'hand', 'interesting']","['go', 'write', 'msg', 'put', 'dictionari', 'mode', 'cover', 'screen', 'hand', 'press', 'lt', 'gt', 'gentli', 'remov', 'ur', 'hand', 'interest']","['go', 'write', 'msg', 'put', 'dictionary', 'mode', 'cover', 'screen', 'hand', 'press', 'lt', 'gt', 'gently', 'remove', 'ur', 'hand', 'interest']",go write msg put dictionary mode cover screen hand press lt gt gently remove ur hand interesting,go write msg put dictionari mode cover screen hand press lt gt gentli remov ur hand interest,go write msg put dictionary mode cover screen hand press lt gt gently remove ur hand interest
spam,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",bears pic nick and tom pete and dick in fact all types try gay chat with photo upload call p min stop texts call,"['bears', 'pic', 'nick', 'tom', 'pete', 'dick', 'fact', 'types', 'try', 'gay', 'chat', 'photo', 'upload', 'call', 'min', 'stop', 'texts', 'call']","['bear', 'pic', 'nick', 'tom', 'pete', 'dick', 'fact', 'type', 'tri', 'gay', 'chat', 'photo', 'upload', 'call', 'min', 'stop', 'text', 'call']","['bear', 'pic', 'nick', 'tom', 'pete', 'dick', 'fact', 'type', 'try', 'gay', 'chat', 'photo', 'upload', 'call', 'min', 'stop', 'text', 'call']",bears pic nick tom pete dick fact types try gay chat photo upload call min stop texts call,bear pic nick tom pete dick fact type tri gay chat photo upload call min stop text call,bear pic nick tom pete dick fact type try gay chat photo upload call min stop text call
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",new mobiles from must go txt nokia to no collect yours today from only optout gbp mtmsg txtauction,"['new', 'mobiles', 'must', 'go', 'txt', 'nokia', 'collect', 'today', 'optout', 'gbp', 'mtmsg', 'txtauction']","['new', 'mobil', 'must', 'go', 'txt', 'nokia', 'collect', 'today', 'optout', 'gbp', 'mtmsg', 'txtauction']","['new', 'mobile', 'must', 'go', 'txt', 'nokia', 'collect', 'today', 'optout', 'gbp', 'mtmsg', 'txtauction']",new mobiles must go txt nokia collect today optout gbp mtmsg txtauction,new mobil must go txt nokia collect today optout gbp mtmsg txtauction,new mobile must go txt nokia collect today optout gbp mtmsg txtauction
ham,We're finally ready fyi,we re finally ready fyi,"['finally', 'ready', 'fyi']","['final', 'readi', 'fyi']","['finally', 'ready', 'fyi']",finally ready fyi,final readi fyi,finally ready fyi
ham,Auntie huai juan never pick up her phone,auntie huai juan never pick up her phone,"['auntie', 'huai', 'juan', 'never', 'pick', 'phone']","['aunti', 'huai', 'juan', 'never', 'pick', 'phone']","['auntie', 'huai', 'juan', 'never', 'pick', 'phone']",auntie huai juan never pick phone,aunti huai juan never pick phone,auntie huai juan never pick phone
spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,double mins double txt price linerental on latest orange bluetooth mobiles call mobileupd for the very latest offers or call optout lf,"['double', 'mins', 'double', 'txt', 'price', 'linerental', 'latest', 'orange', 'bluetooth', 'mobiles', 'call', 'mobileupd', 'latest', 'offers', 'call', 'optout', 'lf']","['doubl', 'min', 'doubl', 'txt', 'price', 'linerent', 'latest', 'orang', 'bluetooth', 'mobil', 'call', 'mobileupd', 'latest', 'offer', 'call', 'optout', 'lf']","['double', 'min', 'double', 'txt', 'price', 'linerental', 'late', 'orange', 'bluetooth', 'mobile', 'call', 'mobileupd', 'late', 'offer', 'call', 'optout', 'lf']",double mins double txt price linerental latest orange bluetooth mobiles call mobileupd latest offers call optout lf,doubl min doubl txt price linerent latest orang bluetooth mobil call mobileupd latest offer call optout lf,double min double txt price linerental late orange bluetooth mobile call mobileupd late offer call optout lf
ham,"Ya tel, wats ur problem..",ya tel wats ur problem,"['ya', 'tel', 'wats', 'ur', 'problem']","['ya', 'tel', 'wat', 'ur', 'problem']","['ya', 'tel', 'wats', 'ur', 'problem']",ya tel wats ur problem,ya tel wat ur problem,ya tel wats ur problem
spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,no nokia tone ur mob every week just txt nok to st tone free so get txtin now and tell ur friends p tone reply hl info,"['nokia', 'tone', 'ur', 'mob', 'every', 'week', 'txt', 'nok', 'st', 'tone', 'free', 'get', 'txtin', 'tell', 'ur', 'friends', 'tone', 'reply', 'hl', 'info']","['nokia', 'tone', 'ur', 'mob', 'everi', 'week', 'txt', 'nok', 'st', 'tone', 'free', 'get', 'txtin', 'tell', 'ur', 'friend', 'tone', 'repli', 'hl', 'info']","['nokia', 'tone', 'ur', 'mob', 'every', 'week', 'txt', 'nok', 'st', 'tone', 'free', 'get', 'txtin', 'tell', 'ur', 'friends', 'tone', 'reply', 'hl', 'info']",nokia tone ur mob every week txt nok st tone free get txtin tell ur friends tone reply hl info,nokia tone ur mob everi week txt nok st tone free get txtin tell ur friend tone repli hl info,nokia tone ur mob every week txt nok st tone free get txtin tell ur friends tone reply hl info
ham,i dnt wnt to tlk wid u,i dnt wnt to tlk wid u,"['dnt', 'wnt', 'tlk', 'wid']","['dnt', 'wnt', 'tlk', 'wid']","['dnt', 'wnt', 'tlk', 'wid']",dnt wnt tlk wid,dnt wnt tlk wid,dnt wnt tlk wid
ham,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. ""paths are made by walking.. not by waiting.."" Goodnight!",we spend our days waiting for the ideal path to appear in front of us but what we forget is paths are made by walking not by waiting goodnight,"['spend', 'days', 'waiting', 'ideal', 'path', 'appear', 'front', 'us', 'forget', 'paths', 'made', 'walking', 'waiting', 'goodnight']","['spend', 'day', 'wait', 'ideal', 'path', 'appear', 'front', 'us', 'forget', 'path', 'made', 'walk', 'wait', 'goodnight']","['spend', 'day', 'wait', 'ideal', 'path', 'appear', 'front', 'u', 'forget', 'path', 'make', 'walk', 'wait', 'goodnight']",spend days waiting ideal path appear front us forget paths made walking waiting goodnight,spend day wait ideal path appear front us forget path made walk wait goodnight,spend day wait ideal path appear front u forget path make walk wait goodnight
ham,Its ok my arm is feeling weak cuz i got a shot so we can go another time,its ok my arm is feeling weak cuz i got a shot so we can go another time,"['ok', 'arm', 'feeling', 'weak', 'cuz', 'got', 'shot', 'go', 'another', 'time']","['ok', 'arm', 'feel', 'weak', 'cuz', 'got', 'shot', 'go', 'anoth', 'time']","['ok', 'arm', 'feeling', 'weak', 'cuz', 'get', 'shot', 'go', 'another', 'time']",ok arm feeling weak cuz got shot go another time,ok arm feel weak cuz got shot go anoth time,ok arm feeling weak cuz get shot go another time
ham,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..,please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve i already see in net no ticket available i want to book ticket through tackle,"['please', 'reserve', 'ticket', 'saturday', 'eve', 'chennai', 'thirunelvali', 'tirunelvali', 'chennai', 'sunday', 'eve', 'already', 'see', 'net', 'ticket', 'available', 'want', 'book', 'ticket', 'tackle']","['pleas', 'reserv', 'ticket', 'saturday', 'eve', 'chennai', 'thirunelvali', 'tirunelvali', 'chennai', 'sunday', 'eve', 'alreadi', 'see', 'net', 'ticket', 'avail', 'want', 'book', 'ticket', 'tackl']","['please', 'reserve', 'ticket', 'saturday', 'eve', 'chennai', 'thirunelvali', 'tirunelvali', 'chennai', 'sunday', 'eve', 'already', 'see', 'net', 'ticket', 'available', 'want', 'book', 'ticket', 'tackle']",please reserve ticket saturday eve chennai thirunelvali tirunelvali chennai sunday eve already see net ticket available want book ticket tackle,pleas reserv ticket saturday eve chennai thirunelvali tirunelvali chennai sunday eve alreadi see net ticket avail want book ticket tackl,please reserve ticket saturday eve chennai thirunelvali tirunelvali chennai sunday eve already see net ticket available want book ticket tackle
ham,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@",storming msg wen u lift d phne u say hello do u knw wt is d real meaning of hello it s d name of a girl yes and u knw who is dat girl margaret hello she is d girlfrnd f grahmbell who invnted telphone moral one can get d name of a person bt not his girlfrnd g o o d n i g h t,"['storming', 'msg', 'wen', 'lift', 'phne', 'say', 'hello', 'knw', 'wt', 'real', 'meaning', 'hello', 'name', 'girl', 'yes', 'knw', 'dat', 'girl', 'margaret', 'hello', 'girlfrnd', 'grahmbell', 'invnted', 'telphone', 'moral', 'one', 'get', 'name', 'person', 'bt', 'girlfrnd']","['storm', 'msg', 'wen', 'lift', 'phne', 'say', 'hello', 'knw', 'wt', 'real', 'mean', 'hello', 'name', 'girl', 'ye', 'knw', 'dat', 'girl', 'margaret', 'hello', 'girlfrnd', 'grahmbel', 'invnt', 'telphon', 'moral', 'one', 'get', 'name', 'person', 'bt', 'girlfrnd']","['storm', 'msg', 'wen', 'lift', 'phne', 'say', 'hello', 'knw', 'wt', 'real', 'meaning', 'hello', 'name', 'girl', 'yes', 'knw', 'dat', 'girl', 'margaret', 'hello', 'girlfrnd', 'grahmbell', 'invnted', 'telphone', 'moral', 'one', 'get', 'name', 'person', 'bt', 'girlfrnd']",storming msg wen lift phne say hello knw wt real meaning hello name girl yes knw dat girl margaret hello girlfrnd grahmbell invnted telphone moral one get name person bt girlfrnd,storm msg wen lift phne say hello knw wt real mean hello name girl ye knw dat girl margaret hello girlfrnd grahmbel invnt telphon moral one get name person bt girlfrnd,storm msg wen lift phne say hello knw wt real meaning hello name girl yes knw dat girl margaret hello girlfrnd grahmbell invnted telphone moral one get name person bt girlfrnd
ham,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?,that s ok i popped in to ask bout something and she said you d been in are you around tonght wen this girl comes,"['ok', 'popped', 'ask', 'bout', 'something', 'said', 'around', 'tonght', 'wen', 'girl', 'comes']","['ok', 'pop', 'ask', 'bout', 'someth', 'said', 'around', 'tonght', 'wen', 'girl', 'come']","['ok', 'pop', 'ask', 'bout', 'something', 'say', 'around', 'tonght', 'wen', 'girl', 'come']",ok popped ask bout something said around tonght wen girl comes,ok pop ask bout someth said around tonght wen girl come,ok pop ask bout something say around tonght wen girl come
ham,All e best 4 ur exam later.,all e best ur exam later,"['best', 'ur', 'exam', 'later']","['best', 'ur', 'exam', 'later']","['best', 'ur', 'exam', 'later']",best ur exam later,best ur exam later,best ur exam later
ham,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.,hope ur head doesn t hurt much am ploughing my way through a pile of ironing staying in with a chinky tonight come round if you like,"['hope', 'ur', 'head', 'hurt', 'much', 'ploughing', 'way', 'pile', 'ironing', 'staying', 'chinky', 'tonight', 'come', 'round', 'like']","['hope', 'ur', 'head', 'hurt', 'much', 'plough', 'way', 'pile', 'iron', 'stay', 'chinki', 'tonight', 'come', 'round', 'like']","['hope', 'ur', 'head', 'hurt', 'much', 'ploughing', 'way', 'pile', 'iron', 'stay', 'chinky', 'tonight', 'come', 'round', 'like']",hope ur head hurt much ploughing way pile ironing staying chinky tonight come round like,hope ur head hurt much plough way pile iron stay chinki tonight come round like,hope ur head hurt much ploughing way pile iron stay chinky tonight come round like
ham,Oh k.i think most of wi and nz players unsold.,oh k i think most of wi and nz players unsold,"['oh', 'think', 'wi', 'nz', 'players', 'unsold']","['oh', 'think', 'wi', 'nz', 'player', 'unsold']","['oh', 'think', 'wi', 'nz', 'player', 'unsold']",oh think wi nz players unsold,oh think wi nz player unsold,oh think wi nz player unsold
ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",haha where got so fast lose weight thk muz go a month den got effect gee later we go aust put bk e weight,"['haha', 'got', 'fast', 'lose', 'weight', 'thk', 'muz', 'go', 'month', 'den', 'got', 'effect', 'gee', 'later', 'go', 'aust', 'put', 'bk', 'weight']","['haha', 'got', 'fast', 'lose', 'weight', 'thk', 'muz', 'go', 'month', 'den', 'got', 'effect', 'gee', 'later', 'go', 'aust', 'put', 'bk', 'weight']","['haha', 'get', 'fast', 'lose', 'weight', 'thk', 'muz', 'go', 'month', 'den', 'get', 'effect', 'gee', 'later', 'go', 'aust', 'put', 'bk', 'weight']",haha got fast lose weight thk muz go month den got effect gee later go aust put bk weight,haha got fast lose weight thk muz go month den got effect gee later go aust put bk weight,haha get fast lose weight thk muz go month den get effect gee later go aust put bk weight
ham,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy",i wonder how you got online my love had you gone to the net cafe did you get your phone recharged were you on a friends net i think of you boytoy,"['wonder', 'got', 'online', 'love', 'gone', 'net', 'cafe', 'get', 'phone', 'recharged', 'friends', 'net', 'think', 'boytoy']","['wonder', 'got', 'onlin', 'love', 'gone', 'net', 'cafe', 'get', 'phone', 'recharg', 'friend', 'net', 'think', 'boytoy']","['wonder', 'get', 'online', 'love', 'go', 'net', 'cafe', 'get', 'phone', 'recharge', 'friend', 'net', 'think', 'boytoy']",wonder got online love gone net cafe get phone recharged friends net think boytoy,wonder got onlin love gone net cafe get phone recharg friend net think boytoy,wonder get online love go net cafe get phone recharge friend net think boytoy
ham,"Haha just kidding, papa needs drugs",haha just kidding papa needs drugs,"['haha', 'kidding', 'papa', 'needs', 'drugs']","['haha', 'kid', 'papa', 'need', 'drug']","['haha', 'kid', 'papa', 'need', 'drug']",haha kidding papa needs drugs,haha kid papa need drug,haha kid papa need drug
ham,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",thk shld b can ya i wana go lessons haha can go for one whole stretch,"['thk', 'shld', 'ya', 'wana', 'go', 'lessons', 'haha', 'go', 'one', 'whole', 'stretch']","['thk', 'shld', 'ya', 'wana', 'go', 'lesson', 'haha', 'go', 'one', 'whole', 'stretch']","['thk', 'shld', 'ya', 'wana', 'go', 'lesson', 'haha', 'go', 'one', 'whole', 'stretch']",thk shld ya wana go lessons haha go one whole stretch,thk shld ya wana go lesson haha go one whole stretch,thk shld ya wana go lesson haha go one whole stretch
ham,Oh ok..,oh ok,"['oh', 'ok']","['oh', 'ok']","['oh', 'ok']",oh ok,oh ok,oh ok
ham,R we still meeting 4 dinner tonight?,r we still meeting dinner tonight,"['still', 'meeting', 'dinner', 'tonight']","['still', 'meet', 'dinner', 'tonight']","['still', 'meet', 'dinner', 'tonight']",still meeting dinner tonight,still meet dinner tonight,still meet dinner tonight
ham,Thats cool! I am a gentleman and will treat you with dignity and respect.,thats cool i am a gentleman and will treat you with dignity and respect,"['thats', 'cool', 'gentleman', 'treat', 'dignity', 'respect']","['that', 'cool', 'gentleman', 'treat', 'digniti', 'respect']","['thats', 'cool', 'gentleman', 'treat', 'dignity', 'respect']",thats cool gentleman treat dignity respect,that cool gentleman treat digniti respect,thats cool gentleman treat dignity respect
ham,Shall i start from hear.,shall i start from hear,"['shall', 'start', 'hear']","['shall', 'start', 'hear']","['shall', 'start', 'hear']",shall start hear,shall start hear,shall start hear
ham,Then we wait 4 u lor... No need 2 feel bad lar...,then we wait u lor no need feel bad lar,"['wait', 'lor', 'need', 'feel', 'bad', 'lar']","['wait', 'lor', 'need', 'feel', 'bad', 'lar']","['wait', 'lor', 'need', 'feel', 'bad', 'lar']",wait lor need feel bad lar,wait lor need feel bad lar,wait lor need feel bad lar
ham,No did you check? I got his detailed message now,no did you check i got his detailed message now,"['check', 'got', 'detailed', 'message']","['check', 'got', 'detail', 'messag']","['check', 'get', 'detailed', 'message']",check got detailed message,check got detail messag,check get detailed message
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,you have registered sinco as payee log in at icicibank com and enter urn lt gt to confirm beware of frauds do not share or disclose urn to anyone,"['registered', 'sinco', 'payee', 'log', 'icicibank', 'com', 'enter', 'urn', 'lt', 'gt', 'confirm', 'beware', 'frauds', 'share', 'disclose', 'urn', 'anyone']","['regist', 'sinco', 'paye', 'log', 'icicibank', 'com', 'enter', 'urn', 'lt', 'gt', 'confirm', 'bewar', 'fraud', 'share', 'disclos', 'urn', 'anyon']","['register', 'sinco', 'payee', 'log', 'icicibank', 'com', 'enter', 'urn', 'lt', 'gt', 'confirm', 'beware', 'fraud', 'share', 'disclose', 'urn', 'anyone']",registered sinco payee log icicibank com enter urn lt gt confirm beware frauds share disclose urn anyone,regist sinco paye log icicibank com enter urn lt gt confirm bewar fraud share disclos urn anyon,register sinco payee log icicibank com enter urn lt gt confirm beware fraud share disclose urn anyone
ham,"No, I decided that only people who care about stuff vote and caring about stuff is for losers",no i decided that only people who care about stuff vote and caring about stuff is for losers,"['decided', 'people', 'care', 'stuff', 'vote', 'caring', 'stuff', 'losers']","['decid', 'peopl', 'care', 'stuff', 'vote', 'care', 'stuff', 'loser']","['decided', 'people', 'care', 'stuff', 'vote', 'care', 'stuff', 'loser']",decided people care stuff vote caring stuff losers,decid peopl care stuff vote care stuff loser,decided people care stuff vote care stuff loser
ham,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...,kaiez enjoy ur tuition gee thk e second option sounds beta i ll go yan jiu den msg u,"['kaiez', 'enjoy', 'ur', 'tuition', 'gee', 'thk', 'second', 'option', 'sounds', 'beta', 'go', 'yan', 'jiu', 'den', 'msg']","['kaiez', 'enjoy', 'ur', 'tuition', 'gee', 'thk', 'second', 'option', 'sound', 'beta', 'go', 'yan', 'jiu', 'den', 'msg']","['kaiez', 'enjoy', 'ur', 'tuition', 'gee', 'thk', 'second', 'option', 'sound', 'beta', 'go', 'yan', 'jiu', 'den', 'msg']",kaiez enjoy ur tuition gee thk second option sounds beta go yan jiu den msg,kaiez enjoy ur tuition gee thk second option sound beta go yan jiu den msg,kaiez enjoy ur tuition gee thk second option sound beta go yan jiu den msg
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,you have registered sinco as payee log in at icicibank com and enter urn lt gt to confirm beware of frauds do not share or disclose urn to anyone,"['registered', 'sinco', 'payee', 'log', 'icicibank', 'com', 'enter', 'urn', 'lt', 'gt', 'confirm', 'beware', 'frauds', 'share', 'disclose', 'urn', 'anyone']","['regist', 'sinco', 'paye', 'log', 'icicibank', 'com', 'enter', 'urn', 'lt', 'gt', 'confirm', 'bewar', 'fraud', 'share', 'disclos', 'urn', 'anyon']","['register', 'sinco', 'payee', 'log', 'icicibank', 'com', 'enter', 'urn', 'lt', 'gt', 'confirm', 'beware', 'fraud', 'share', 'disclose', 'urn', 'anyone']",registered sinco payee log icicibank com enter urn lt gt confirm beware frauds share disclose urn anyone,regist sinco paye log icicibank com enter urn lt gt confirm bewar fraud share disclos urn anyon,register sinco payee log icicibank com enter urn lt gt confirm beware fraud share disclose urn anyone
ham,cool. We will have fun practicing making babies!,cool we will have fun practicing making babies,"['cool', 'fun', 'practicing', 'making', 'babies']","['cool', 'fun', 'practic', 'make', 'babi']","['cool', 'fun', 'practice', 'make', 'baby']",cool fun practicing making babies,cool fun practic make babi,cool fun practice make baby
